order_id,merchant_id,zone_id,checkout_timestamp,order_category,distance_km,merchant_notification_time,rider_notification_time,rider_arrival_time,out_for_delivery_time,delivery_timestamp
ORD000010,M024,Z4,2026-03-26 17:54:00,food,7.22,2026-03-26 17:54:31.170173,2026-03-26 17:55:10.261024,2026-03-26 18:10:21.277838,2026-03-26 18:10:21.277838,2026-03-26 18:36:14.425058
ORD000011,M012,Z3,2026-02-23 21:50:00,food,1.18,2026-02-23 21:51:39.388733,2026-02-23 21:51:08.189965,2026-02-23 22:11:25.143922,2026-02-23 22:11:25.143922,2026-02-23 22:18:14.539241
ORD000012,M003,Z7,2026-03-28 22:30:00,pharmacy,6.97,2026-03-28 22:31:46.009446,2026-03-28 22:31:38.292057,2026-03-28 22:47:29.434956,2026-03-28 22:47:29.434956,2026-03-28 23:16:43.636783
ORD000013,M025,Z6,2026-01-25 21:03:00,food,2.24,2026-01-25 21:04:54.845860,2026-01-25 21:05:17.957598,2026-01-25 21:48:55.185257,2026-01-25 21:48:55.185257,2026-01-25 22:00:51.941071
ORD000014,M021,Z5,2026-03-29 22:39:00,supermarket,2.34,2026-03-29 22:39:44.160659,2026-03-29 22:40:19.248013,2026-03-29 22:58:10.759537,2026-03-29 22:58:10.759537,2026-03-29 23:09:59.008884
ORD000015,M047,Z7,2026-03-20 22:10:00,pharmacy,5.62,2026-03-20 22:11:10.131244,2026-03-20 22:11:32.835200,2026-03-20 22:25:45.289733,2026-03-20 22:25:45.289733,2026-03-20 22:49:25.988347
ORD000016,M027,Z2,2026-02-10 13:56:00,pharmacy,4.78,2026-02-10 13:56:31.653087,2026-02-10 13:57:57.882766,2026-02-10 14:23:16.471145,2026-02-10 14:23:16.471145,2026-02-10 14:44:42.029905
ORD000017,M020,Z6,2026-03-26 21:23:00,food,3.69,2026-03-26 21:24:01.134149,2026-03-26 21:24:44.524652,2026-03-26 21:49:34.612202,2026-03-26 21:51:06.848698,2026-03-26 22:09:21.015508
ORD000018,M073,Z2,2026-02-16 20:36:00,pharmacy,6.36,2026-02-16 20:37:33.484703,2026-02-16 20:37:53.564238,2026-02-16 21:07:36.064370,2026-02-16 21:07:36.064370,2026-02-16 21:38:58.163003
ORD000019,M005,Z8,2026-03-05 11:08:00,food,7.0,2026-03-05 11:09:59.400324,2026-03-05 11:10:30.291332,2026-03-05 11:20:18.651575,2026-03-05 11:21:49.686531,2026-03-05 11:45:29.006686
ORD000020,M072,Z1,2026-03-19 19:47:00,food,4.42,2026-03-19 19:48:30.308643,2026-03-19 19:49:51.552705,2026-03-19 20:01:07.541634,2026-03-19 20:08:54.539273,2026-03-19 20:29:33.000592
ORD000021,M040,Z3,2026-03-14 17:56:00,supermarket,4.23,2026-03-14 17:57:58.900697,2026-03-14 17:57:16.372770,2026-03-14 18:17:21.565237,2026-03-14 18:17:21.565237,2026-03-14 18:31:50.141066
ORD000022,M010,Z3,2026-03-25 20:17:00,food,6.41,2026-03-25 20:18:47.821757,2026-03-25 20:19:13.018370,2026-03-25 20:30:21.324909,2026-03-25 20:40:20.101919,2026-03-25 21:02:36.033292
ORD000023,M010,Z3,2026-03-09 12:03:00,food,1.1,2026-03-09 12:04:39.905127,2026-03-09 12:04:14.644206,2026-03-09 12:17:29.284673,2026-03-09 12:42:17.665276,2026-03-09 12:48:50.794420
ORD000024,M061,Z7,2026-01-21 22:54:00,food,1.62,2026-01-21 22:54:41.447979,2026-01-21 22:56:43.759247,2026-01-21 23:20:20.106631,2026-01-21 23:24:52.133363,2026-01-21 23:34:37.611183
ORD000025,M030,Z5,2026-02-18 14:03:00,food,6.31,2026-02-18 14:04:27.951383,2026-02-18 14:05:03.636256,2026-02-18 14:27:51.273039,2026-02-18 14:28:38.354958,2026-02-18 14:58:18.943322
ORD000026,M008,Z7,2026-01-08 19:15:00,pharmacy,6.59,2026-01-08 19:16:36.754086,2026-01-08 19:17:45.774094,2026-01-08 19:34:35.287220,2026-01-08 19:34:35.287220,2026-01-08 20:02:35.716089
ORD000027,M054,Z7,2026-02-24 13:51:00,supermarket,0.97,2026-02-24 13:52:42.123022,2026-02-24 13:53:31.990623,2026-02-24 14:16:48.705324,2026-02-24 14:16:48.705324,2026-02-24 14:23:30.268243
ORD000028,M027,Z2,2026-01-07 12:14:00,pharmacy,0.66,2026-01-07 12:15:29.741072,2026-01-07 12:16:55.607332,2026-01-07 12:25:21.919009,2026-01-07 12:32:24.696164,2026-01-07 12:37:42.196155
ORD000029,M019,Z3,2026-02-09 23:25:00,food,4.68,2026-02-09 23:26:19.726225,2026-02-09 23:26:11.298229,2026-02-09 23:34:50.514759,2026-02-09 23:39:36.356769,2026-02-09 23:56:23.254708
ORD000030,M016,Z4,2026-01-05 23:27:00,supermarket,6.94,2026-01-05 23:28:43.715716,2026-01-05 23:29:04.895251,2026-01-05 23:43:14.664713,2026-01-06 00:18:23.515468,2026-01-06 00:47:55.018289
ORD000031,M018,Z8,2026-02-15 19:35:00,food,3.36,2026-02-15 19:35:41.596384,2026-02-15 19:36:49.531336,2026-02-15 20:02:10.977583,2026-02-15 20:02:10.977583,2026-02-15 20:16:50.759088
ORD000032,M009,Z2,2026-02-07 20:28:00,food,5.3,2026-02-07 20:29:30.878373,2026-02-07 20:29:15.803213,2026-02-07 20:40:16.814728,2026-02-07 20:50:06.881320,2026-02-07 21:13:23.330588
ORD000033,M001,Z4,2026-02-16 22:17:00,food,1.36,2026-02-16 22:18:04.545499,2026-02-16 22:18:54.748381,2026-02-16 22:33:03.424173,2026-02-16 22:44:12.078702,2026-02-16 22:52:42.807960
ORD000034,M004,Z3,2026-03-09 11:00:00,supermarket,3.09,2026-03-09 11:00:43.901377,2026-03-09 11:01:03.053731,2026-03-09 11:18:39.716969,2026-03-09 11:18:39.716969,2026-03-09 11:29:53.199061
ORD000035,M038,Z1,2026-02-15 21:20:00,pharmacy,7.75,2026-02-15 21:21:20.193794,2026-02-15 21:21:41.673245,2026-02-15 21:38:58.009226,2026-02-15 21:38:58.009226,2026-02-15 22:12:19.766257
ORD000036,M001,Z4,2026-02-16 20:30:00,food,6.01,2026-02-16 20:31:38.633676,2026-02-16 20:32:51.510888,2026-02-16 20:49:21.832485,2026-02-16 21:58:42.120930,2026-02-16 22:27:09.093052
ORD000037,M073,Z2,2026-03-28 23:54:00,pharmacy,7.3,2026-03-28 23:54:58.934613,2026-03-28 23:55:57.172438,2026-03-29 00:05:33.379701,2026-03-29 00:11:16.097351,2026-03-29 00:41:57.645026
ORD000038,M059,Z5,2026-01-29 16:26:00,pharmacy,6.83,2026-01-29 16:27:30.826297,2026-01-29 16:27:16.693902,2026-01-29 16:43:36.563959,2026-01-29 16:43:36.563959,2026-01-29 17:08:20.395380
ORD000039,M039,Z3,2026-02-04 19:46:00,pharmacy,2.98,2026-02-04 19:47:51.545930,2026-02-04 19:47:32.001024,2026-02-04 20:02:01.593660,2026-02-04 20:06:08.574092,2026-02-04 20:19:17.218423
ORD000040,M039,Z3,2026-03-13 20:46:00,pharmacy,1.73,2026-03-13 20:47:27.853702,2026-03-13 20:48:37.183222,2026-03-13 21:09:11.586266,2026-03-13 21:09:11.586266,2026-03-13 21:16:30.946432
ORD000041,M050,Z7,2026-03-06 19:16:00,food,1.72,2026-03-06 19:17:20.857678,2026-03-06 19:18:32.595229,2026-03-06 19:33:47.603006,2026-03-06 19:58:24.641181,2026-03-06 20:08:38.579730
ORD000042,M059,Z5,2026-03-01 18:54:00,pharmacy,7.6,2026-03-01 18:55:50.330240,2026-03-01 18:55:50.333759,2026-03-01 19:08:17.555735,2026-03-01 19:08:17.555735,2026-03-01 19:37:19.061079
ORD000043,M043,Z8,2026-01-09 14:31:00,supermarket,0.82,2026-01-09 14:31:53.879352,2026-01-09 14:33:12.186466,2026-01-09 14:42:52.465243,2026-01-09 14:53:53.997403,2026-01-09 14:59:46.061989
ORD000044,M072,Z1,2026-01-22 21:36:00,food,1.03,2026-01-22 21:36:58.157684,2026-01-22 21:38:52.235652,2026-01-22 21:54:44.239948,2026-01-22 21:57:16.357201,2026-01-22 22:04:33.055839
ORD000045,M000,Z7,2026-02-12 20:26:00,food,1.07,2026-02-12 20:27:55.628090,2026-02-12 20:27:35.674895,2026-02-12 20:38:36.920158,2026-02-12 20:48:39.198248,2026-02-12 20:54:47.985369
ORD000046,M023,Z8,2026-02-12 13:39:00,pharmacy,3.16,2026-02-12 13:40:08.229438,2026-02-12 13:40:25.841326,2026-02-12 13:47:40.791957,2026-02-12 14:02:18.691010,2026-02-12 14:17:55.651815
ORD000047,M061,Z7,2026-03-09 23:26:00,food,4.36,2026-03-09 23:27:18.199843,2026-03-09 23:27:42.826317,2026-03-09 23:40:22.200579,2026-03-10 00:29:02.672333,2026-03-10 00:49:16.133218
ORD000048,M061,Z7,2026-02-09 21:00:00,food,2.03,2026-02-09 21:00:59.479695,2026-02-09 21:02:05.602231,2026-02-09 21:17:05.548845,2026-02-09 21:36:06.597799,2026-02-09 21:49:17.850616
ORD000049,M026,Z6,2026-03-24 11:13:00,supermarket,3.29,2026-03-24 11:13:36.184231,2026-03-24 11:14:44.348904,2026-03-24 11:26:53.798783,2026-03-24 11:42:00.986465,2026-03-24 11:57:13.349714
ORD000050,M004,Z3,2026-03-08 20:00:00,supermarket,4.47,2026-03-08 20:01:44.332594,2026-03-08 20:01:55.573766,2026-03-08 20:20:53.345959,2026-03-08 20:22:18.642784,2026-03-08 20:39:11.877497
ORD000051,M029,Z4,2026-03-10 22:09:00,food,3.43,2026-03-10 22:09:36.239550,2026-03-10 22:11:16.598669,2026-03-10 22:36:48.630432,2026-03-10 22:53:26.425140,2026-03-10 23:12:24.173853
ORD000052,M035,Z5,2026-03-16 20:39:00,food,4.96,2026-03-16 20:40:33.237619,2026-03-16 20:40:07.983313,2026-03-16 20:57:12.895358,2026-03-16 22:00:20.129421,2026-03-16 22:23:45.718778
ORD000053,M043,Z8,2026-02-15 22:04:00,supermarket,4.09,2026-02-15 22:05:40.250042,2026-02-15 22:05:36.434873,2026-02-15 22:19:27.175295,2026-02-15 22:20:32.478015,2026-02-15 22:38:07.841735
ORD000054,M009,Z2,2026-02-28 15:58:00,food,6.84,2026-02-28 15:59:41.633375,2026-02-28 15:59:21.014777,2026-02-28 16:07:48.228453,2026-02-28 16:16:21.168415,2026-02-28 16:42:02.532980
ORD000055,M004,Z3,2026-02-11 17:10:00,supermarket,4.76,2026-02-11 17:11:28.636411,2026-02-11 17:11:25.293774,2026-02-11 17:22:37.243847,2026-02-11 17:27:12.065331,2026-02-11 17:40:57.923656
ORD000056,M044,Z4,2026-02-22 13:46:00,food,3.52,2026-02-22 13:47:49.612820,2026-02-22 13:48:47.467542,2026-02-22 14:13:58.695416,2026-02-22 14:13:58.695416,2026-02-22 14:30:20.773722
ORD000057,M013,Z3,2026-02-23 23:14:00,supermarket,6.66,2026-02-23 23:15:12.961536,2026-02-23 23:15:42.098293,2026-02-23 23:25:52.200320,2026-02-23 23:33:43.548339,2026-02-23 23:56:08.728448
ORD000058,M008,Z7,2026-02-14 22:06:00,pharmacy,7.51,2026-02-14 22:07:52.477849,2026-02-14 22:08:16.249723,2026-02-14 22:35:40.430822,2026-02-14 22:35:40.430822,2026-02-14 23:06:53.516138
ORD000059,M035,Z5,2026-02-27 15:40:00,food,0.89,2026-02-27 15:40:44.366241,2026-02-27 15:41:40.274793,2026-02-27 15:54:27.177474,2026-02-27 16:07:50.801596,2026-02-27 16:12:39.554181
ORD000060,M066,Z4,2026-01-16 13:53:00,pharmacy,0.76,2026-01-16 13:54:05.271951,2026-01-16 13:55:23.659643,2026-01-16 14:04:50.216213,2026-01-16 14:04:50.216213,2026-01-16 14:11:54.733183
ORD000061,M052,Z3,2026-02-09 12:10:00,food,6.85,2026-02-09 12:10:59.189644,2026-02-09 12:12:21.178050,2026-02-09 12:35:21.904206,2026-02-09 13:02:43.859972,2026-02-09 13:25:39.127851
ORD000062,M002,Z5,2026-02-02 22:19:00,pharmacy,7.59,2026-02-02 22:19:56.624169,2026-02-02 22:20:00.133451,2026-02-02 22:40:25.214233,2026-02-02 22:40:25.214233,2026-02-02 23:12:29.847406
ORD000063,M070,Z2,2026-02-20 16:59:00,food,1.46,2026-02-20 17:00:22.064326,2026-02-20 17:01:23.210655,2026-02-20 17:19:37.368834,2026-02-20 17:31:12.569731,2026-02-20 17:38:37.940457
ORD000064,M045,Z4,2026-01-26 22:28:00,food,3.04,2026-01-26 22:29:15.533849,2026-01-26 22:29:19.430761,2026-01-26 22:39:24.351077,2026-01-26 23:15:08.955071,2026-01-26 23:29:13.863207
ORD000065,M059,Z5,2026-03-28 14:05:00,pharmacy,5.92,2026-03-28 14:05:33.625697,2026-03-28 14:06:48.650739,2026-03-28 14:26:15.895629,2026-03-28 14:26:15.895629,2026-03-28 14:52:28.960942
ORD000066,M000,Z7,2026-03-25 19:50:00,food,0.97,2026-03-25 19:50:36.404011,2026-03-25 19:52:08.863902,2026-03-25 20:08:23.333668,2026-03-25 20:33:32.064926,2026-03-25 20:41:22.863972
ORD000067,M067,Z1,2026-02-14 13:40:00,food,5.23,2026-02-14 13:41:36.571461,2026-02-14 13:42:13.473092,2026-02-14 14:04:03.808573,2026-02-14 14:04:03.808573,2026-02-14 14:28:07.003401
ORD000068,M002,Z5,2026-01-06 23:37:00,pharmacy,1.18,2026-01-06 23:37:58.682064,2026-01-06 23:38:12.561116,2026-01-06 23:50:13.878084,2026-01-06 23:50:13.878084,2026-01-06 23:58:07.464870
ORD000069,M011,Z7,2026-02-11 22:55:00,food,3.62,2026-02-11 22:56:02.091419,2026-02-11 22:57:49.407105,2026-02-11 23:09:55.668042,2026-02-11 23:30:47.527553,2026-02-11 23:47:48.921749
ORD000070,M011,Z7,2026-01-28 22:37:00,food,0.54,2026-01-28 22:38:10.086857,2026-01-28 22:38:10.110645,2026-01-28 22:51:12.379886,2026-01-28 23:22:45.759639,2026-01-28 23:28:34.616447
ORD000071,M060,Z3,2026-02-23 19:36:00,food,5.47,2026-02-23 19:37:23.582973,2026-02-23 19:37:49.817478,2026-02-23 19:48:34.202549,2026-02-23 20:32:21.091351,2026-02-23 20:52:22.023862
ORD000072,M014,Z8,2026-03-08 22:17:00,food,7.9,2026-03-08 22:18:37.911243,2026-03-08 22:18:29.832586,2026-03-08 22:34:40.610137,2026-03-08 23:05:12.848813,2026-03-08 23:36:07.358237
ORD000073,M035,Z5,2026-02-15 23:13:00,food,4.58,2026-02-15 23:13:44.389179,2026-02-15 23:15:22.949600,2026-02-15 23:26:21.807872,2026-02-15 23:46:17.362510,2026-02-16 00:08:07.482118
ORD000074,M021,Z5,2026-02-05 19:12:00,supermarket,3.07,2026-02-05 19:13:31.548311,2026-02-05 19:13:03.041833,2026-02-05 19:26:38.296979,2026-02-05 19:33:46.199816,2026-02-05 19:48:50.759399
ORD000075,M038,Z1,2026-01-07 15:35:00,pharmacy,6.54,2026-01-07 15:36:46.053568,2026-01-07 15:36:47.406401,2026-01-07 15:47:12.446264,2026-01-07 15:51:29.717183,2026-01-07 16:15:05.773907
ORD000076,M000,Z7,2026-02-17 20:19:00,food,7.02,2026-02-17 20:19:37.932099,2026-02-17 20:21:33.215812,2026-02-17 20:35:11.507354,2026-02-17 21:03:07.615355,2026-02-17 21:31:58.628929
ORD000077,M042,Z2,2026-02-23 21:21:00,supermarket,4.69,2026-02-23 21:22:01.230210,2026-02-23 21:23:51.944123,2026-02-23 21:45:45.017878,2026-02-23 21:45:45.017878,2026-02-23 22:05:55.555330
ORD000078,M074,Z5,2026-01-23 14:15:00,supermarket,2.89,2026-01-23 14:16:53.217761,2026-01-23 14:16:06.746915,2026-01-23 14:33:10.885421,2026-01-23 14:37:36.085985,2026-01-23 14:52:55.304870
ORD000079,M074,Z5,2026-02-25 12:33:00,supermarket,7.52,2026-02-25 12:34:37.628099,2026-02-25 12:35:52.960127,2026-02-25 13:03:38.501032,2026-02-25 13:03:38.501032,2026-02-25 13:35:36.047151
ORD000080,M065,Z2,2026-02-18 21:15:00,food,4.52,2026-02-18 21:16:34.562648,2026-02-18 21:16:53.227601,2026-02-18 21:31:18.283061,2026-02-18 21:38:27.444346,2026-02-18 21:58:04.390635
ORD000081,M025,Z6,2026-01-10 19:56:00,food,7.2,2026-01-10 19:57:00.223473,2026-01-10 19:58:13.808370,2026-01-10 20:18:45.597043,2026-01-10 20:18:45.597043,2026-01-10 20:50:09.558886
ORD000082,M010,Z3,2026-01-28 19:34:00,food,4.82,2026-01-28 19:35:00.786249,2026-01-28 19:36:37.197449,2026-01-28 19:49:15.554061,2026-01-28 20:07:20.612748,2026-01-28 20:23:59.772588
ORD000083,M016,Z4,2026-02-03 11:37:00,supermarket,7.9,2026-02-03 11:37:55.044089,2026-02-03 11:38:47.450192,2026-02-03 11:55:31.950003,2026-02-03 12:08:00.344739,2026-02-03 12:35:54.988245
ORD000084,M015,Z5,2026-01-13 23:32:00,food,3.48,2026-01-13 23:33:08.808944,2026-01-13 23:34:08.315752,2026-01-13 23:50:42.487273,2026-01-13 23:50:42.487273,2026-01-14 00:06:16.456638
ORD000085,M073,Z2,2026-01-07 12:52:00,pharmacy,1.5,2026-01-07 12:53:04.802680,2026-01-07 12:54:38.537091,2026-01-07 13:13:44.718167,2026-01-07 13:13:44.718167,2026-01-07 13:23:33.941573
ORD000086,M018,Z8,2026-02-07 19:58:00,food,1.53,2026-02-07 19:59:54.389531,2026-02-07 19:59:42.231572,2026-02-07 20:08:38.484629,2026-02-07 20:22:49.281854,2026-02-07 20:32:30.755881
ORD000087,M054,Z7,2026-03-25 20:16:00,supermarket,3.74,2026-03-25 20:16:32.971074,2026-03-25 20:18:54.472410,2026-03-25 20:30:44.864692,2026-03-25 20:44:59.723000,2026-03-25 21:02:51.443296
ORD000088,M035,Z5,2026-02-19 12:17:00,food,4.53,2026-02-19 12:18:30.941184,2026-02-19 12:19:21.920538,2026-02-19 12:42:34.273760,2026-02-19 12:43:03.318485,2026-02-19 13:03:54.511471
ORD000089,M021,Z5,2026-02-21 23:43:00,supermarket,6.28,2026-02-21 23:44:26.715758,2026-02-21 23:45:58.618858,2026-02-22 00:00:36.607871,2026-02-22 00:00:36.607871,2026-02-22 00:27:19.010469
ORD000090,M018,Z8,2026-01-30 19:56:00,food,7.69,2026-01-30 19:56:47.311173,2026-01-30 19:58:26.084733,2026-01-30 20:14:52.874039,2026-01-30 20:20:40.894889,2026-01-30 20:51:24.300252
ORD000091,M073,Z2,2026-01-09 12:01:00,pharmacy,6.9,2026-01-09 12:02:54.022241,2026-01-09 12:03:51.912265,2026-01-09 12:14:42.251022,2026-01-09 12:14:42.251022,2026-01-09 12:44:42.632883
ORD000092,M053,Z4,2026-03-28 22:08:00,supermarket,7.56,2026-03-28 22:08:46.460375,2026-03-28 22:10:08.093185,2026-03-28 22:27:39.884662,2026-03-28 22:39:29.928003,2026-03-28 23:12:52.591148
ORD000093,M052,Z3,2026-02-05 12:04:00,food,2.27,2026-02-05 12:05:34.229425,2026-02-05 12:06:44.841364,2026-02-05 12:20:34.395746,2026-02-05 12:22:30.431223,2026-02-05 12:32:30.762532
ORD000094,M051,Z6,2026-03-25 21:32:00,food,5.92,2026-03-25 21:33:55.077634,2026-03-25 21:34:50.049214,2026-03-25 22:02:35.132324,2026-03-25 22:02:35.132324,2026-03-25 22:29:52.917539
ORD000095,M009,Z2,2026-01-11 20:11:00,food,1.8,2026-01-11 20:12:35.230828,2026-01-11 20:13:00.642440,2026-01-11 20:33:15.388174,2026-01-11 20:33:15.388174,2026-01-11 20:44:22.753844
ORD000096,M015,Z5,2026-01-05 12:33:00,food,1.65,2026-01-05 12:34:02.989607,2026-01-05 12:34:44.802379,2026-01-05 12:55:05.906688,2026-01-05 12:55:05.906688,2026-01-05 13:05:44.462657
ORD000097,M067,Z1,2026-01-19 19:00:00,food,5.85,2026-01-19 19:00:48.676035,2026-01-19 19:02:08.257528,2026-01-19 19:26:07.372826,2026-01-19 19:26:07.372826,2026-01-19 19:51:18.718273
ORD000098,M022,Z2,2026-01-30 20:34:00,supermarket,5.34,2026-01-30 20:35:28.587457,2026-01-30 20:36:38.942048,2026-01-30 20:51:21.564248,2026-01-30 20:51:21.564248,2026-01-30 21:15:15.909454
ORD000099,M050,Z7,2026-01-19 19:07:00,food,2.86,2026-01-19 19:08:16.087972,2026-01-19 19:09:52.882823,2026-01-19 19:22:45.404435,2026-01-19 20:00:53.684827,2026-01-19 20:13:53.144669
ORD000100,M049,Z6,2026-02-23 21:39:00,food,4.94,2026-02-23 21:40:13.424375,2026-02-23 21:41:14.709048,2026-02-23 21:57:19.385808,2026-02-23 22:04:42.885964,2026-02-23 22:27:02.068936
ORD000101,M019,Z3,2026-03-29 14:25:00,food,1.07,2026-03-29 14:25:52.532286,2026-03-29 14:27:20.317850,2026-03-29 14:45:55.807803,2026-03-29 14:48:08.581146,2026-03-29 14:54:24.804861
ORD000102,M006,Z5,2026-03-08 16:48:00,food,6.12,2026-03-08 16:48:54.508386,2026-03-08 16:49:14.100221,2026-03-08 17:03:47.980331,2026-03-08 17:03:47.980331,2026-03-08 17:26:21.168337
ORD000103,M052,Z3,2026-01-02 13:33:00,food,4.41,2026-01-02 13:33:43.479942,2026-01-02 13:34:07.869489,2026-01-02 13:58:33.276263,2026-01-02 14:03:17.835397,2026-01-02 14:19:16.996215
ORD000104,M022,Z2,2026-03-17 12:38:00,supermarket,3.61,2026-03-17 12:38:38.040591,2026-03-17 12:39:52.533777,2026-03-17 13:03:09.012693,2026-03-17 13:03:09.012693,2026-03-17 13:19:53.927738
ORD000105,M033,Z2,2026-02-08 15:38:00,food,4.64,2026-02-08 15:39:23.899479,2026-02-08 15:39:32.929407,2026-02-08 15:50:20.930339,2026-02-08 16:11:29.994536,2026-02-08 16:28:10.964330
ORD000106,M062,Z5,2026-01-20 20:17:00,food,1.75,2026-01-20 20:17:40.903992,2026-01-20 20:18:10.249018,2026-01-20 20:31:48.899210,2026-01-20 21:01:03.983899,2026-01-20 21:10:04.597587
ORD000107,M019,Z3,2026-02-27 12:57:00,food,2.9,2026-02-27 12:58:07.959682,2026-02-27 12:58:27.565954,2026-02-27 13:15:38.694463,2026-02-27 13:15:38.694463,2026-02-27 13:27:47.553192
ORD000108,M053,Z4,2026-03-03 23:50:00,supermarket,2.89,2026-03-03 23:51:57.207108,2026-03-03 23:52:51.969318,2026-03-04 00:24:56.688729,2026-03-04 00:24:56.688729,2026-03-04 00:39:04.975718
ORD000109,M065,Z2,2026-03-05 21:37:00,food,6.05,2026-03-05 21:37:57.875992,2026-03-05 21:39:43.050243,2026-03-05 22:09:46.342800,2026-03-05 22:09:46.342800,2026-03-05 22:37:32.222430
ORD000110,M012,Z3,2026-03-07 20:23:00,food,4.93,2026-03-07 20:24:17.173920,2026-03-07 20:24:33.960076,2026-03-07 20:37:02.502238,2026-03-07 20:55:27.288115,2026-03-07 21:13:32.111095
ORD000111,M039,Z3,2026-02-21 20:27:00,pharmacy,7.72,2026-02-21 20:28:50.119860,2026-02-21 20:28:32.441831,2026-02-21 20:49:44.659130,2026-02-21 20:49:44.659130,2026-02-21 21:17:02.231051
ORD000112,M011,Z7,2026-01-23 14:39:00,food,6.91,2026-01-23 14:40:40.347190,2026-01-23 14:40:12.421554,2026-01-23 14:58:24.837871,2026-01-23 14:58:24.837871,2026-01-23 15:27:51.527947
ORD000113,M060,Z3,2026-01-21 12:00:00,food,7.94,2026-01-21 12:01:29.313121,2026-01-21 12:01:06.054668,2026-01-21 12:14:10.673423,2026-01-21 13:02:05.735988,2026-01-21 13:28:19.027437
ORD000114,M007,Z5,2026-01-17 19:29:00,food,1.42,2026-01-17 19:30:25.761140,2026-01-17 19:31:21.063884,2026-01-17 20:06:29.120710,2026-01-17 20:20:51.539046,2026-01-17 20:30:25.097236
ORD000115,M073,Z2,2026-01-23 19:04:00,pharmacy,4.89,2026-01-23 19:05:16.185301,2026-01-23 19:05:59.482892,2026-01-23 19:20:29.522570,2026-01-23 19:20:29.522570,2026-01-23 19:41:31.412667
ORD000116,M058,Z3,2026-03-19 20:58:00,food,3.26,2026-03-19 20:59:03.610013,2026-03-19 20:59:46.024141,2026-03-19 21:19:54.614786,2026-03-19 21:23:43.488132,2026-03-19 21:37:55.981598
ORD000117,M010,Z3,2026-01-09 20:15:00,food,5.96,2026-01-09 20:16:01.936115,2026-01-09 20:17:13.522121,2026-01-09 20:47:46.448268,2026-01-09 21:01:28.131091,2026-01-09 21:22:21.934174
ORD000118,M051,Z6,2026-01-17 19:44:00,food,3.63,2026-01-17 19:45:35.761111,2026-01-17 19:46:02.623475,2026-01-17 20:05:29.081668,2026-01-17 20:10:34.918312,2026-01-17 20:28:18.629475
ORD000119,M072,Z1,2026-02-23 23:12:00,food,3.0,2026-02-23 23:13:09.446875,2026-02-23 23:13:31.523197,2026-02-23 23:24:31.001047,2026-02-23 23:47:11.205591,2026-02-24 00:01:34.096927
ORD000120,M068,Z4,2026-03-28 15:03:00,pharmacy,6.47,2026-03-28 15:04:00.619461,2026-03-28 15:04:00.783049,2026-03-28 15:15:34.899617,2026-03-28 15:15:34.899617,2026-03-28 15:39:47.451422
